ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
2377A061 100215,2377A,061,2862 HARLEM AVE,10/02/2015,MOSHER,WESTERN,9,"(39.29564982, -76.66460259)"
2377A072 103006,2377A,072,2737 RAYNER AVE,10/30/2006,MOSHER,WESTERN,9,"(39.29607094, -76.66202716)"
2377A073 061009,2377A,073,2739 RAYNER AVE,06/10/2009,MOSHER,WESTERN,9,"(39.29606756, -76.66207352)"
2377A074 123010,2377A,074,2741 RAYNER AVE,12/30/2010,MOSHER,WESTERN,9,"(39.29606598, -76.66212192)"
2377A078 120507,2377A,078,2749 RAYNER AVE,12/05/2007,MOSHER,WESTERN,9,"(39.29605972, -76.66231534)"
2377A079 110305,2377A,079,2751 RAYNER AVE,11/03/2005,MOSHER,WESTERN,9,"(39.29605768, -76.6623707)"
2377B004 110504,2377B,004,2806 EDMONDSON AVE,11/05/2004,MOSHER,WESTERN,9,"(39.2947258, -76.6632485)"
2377B014 062514,2377B,014,615 N FRANKLINTOWN ROAD,06/25/2014,MOSHER,WESTERN,9,"(39.29499417, -76.66357819)"
2350 057 041014,2350,057,2310 CALVERTON HEIGHTS AVE,04/10/2014,BRIDGEVIEW/GREENLAWN,WESTERN,9,"(39.2979475, -76.6542061)"
2350 066 102114,2350,066,2328 CALVERTON HEIGHTS AVE,10/21/2014,BRIDGEVIEW/GREENLAWN,WESTERN,9,"(39.29792943, -76.65469821)"
2350 068 120514,2350,068,2332 CALVERTON HEIGHTS AVE,12/05/2014,BRIDGEVIEW/GREENLAWN,WESTERN,9,"(39.29792479, -76.65481131)"
2351 013 072511,2351,013,922 N BENTALOU ST,07/25/2011,BRIDGEVIEW/GREENLAWN,WESTERN,9,"(39.29914566, -76.65375529)"
2359 018 021414,2359,018,2403 CALVERTON HEIGHTS AVE,02/14/2014,EVERGREEN LAWN,WESTERN,9,"(39.29748113, -76.6551637)"
2360 046 103013,2360,046,2401 W LANVALE ST,10/30/2013,EVERGREEN LAWN,WESTERN,9,"(39.29675719, -76.65505442)"
2360 047 020112,2360,047,2403 W LANVALE ST,02/01/2012,EVERGREEN LAWN,WESTERN,9,"(39.29675414, -76.65513776)"
2360 050 121614,2360,050,2409 W LANVALE ST,12/16/2014,EVERGREEN LAWN,WESTERN,9,"(39.29674541, -76.65537924)"
2361 006 121608,2361,006,2410 EDMONDSON AVE,12/16/2008,ROSEMONT HOMEOWNERS/TENANTS,WESTERN,9,"(39.29502905, -76.65523403)"
2361 017 121515,2361,017,2432 EDMONDSON AVE,12/15/2015,ROSEMONT HOMEOWNERS/TENANTS,WESTERN,9,"(39.29500598, -76.65585601)"
2361 020 101813,2361,020,2438 EDMONDSON AVE,10/18/2013,ROSEMONT HOMEOWNERS/TENANTS,WESTERN,9,"(39.29499962, -76.65602663)"
2362 005 092713,2362,005,2522 EDMONDSON AVE,09/27/2013,ROSEMONT HOMEOWNERS/TENANTS,WESTERN,9,"(39.29496096, -76.6571034)"
2380 015 051509,2380,015,2828 RAYNER AVE,05/15/2009,MOSHER,WESTERN,9,"(39.29654095, -76.66366358)"
2380 016 042910,2380,016,2830 RAYNER AVE,04/29/2010,MOSHER,WESTERN,9,"(39.29653936, -76.66371312)"
2380 020 051515,2380,020,2846 RAYNER AVE,05/15/2015,MOSHER,WESTERN,9,"(39.29652854, -76.66398008)"
2380 021 070513,2380,021,2848 RAYNER AVE,07/05/2013,MOSHER,WESTERN,9,"(39.29652673, -76.66403206)"
2380 022 111309,2380,022,2850 RAYNER AVE,11/13/2009,MOSHER,WESTERN,9,"(39.29652484, -76.66408425)"
2380 023 042910,2380,023,2852 RAYNER AVE,04/29/2010,MOSHER,WESTERN,9,"(39.29652307, -76.66413554)"
2380 025 050406,2380,025,2856 RAYNER AVE,05/04/2006,MOSHER,WESTERN,9,"(39.29651902, -76.66423869)"
2380 026 030807,2380,026,2858 RAYNER AVE,03/08/2007,MOSHER,WESTERN,9,"(39.29651765, -76.66428952)"
2380 039 080207,2380,039,2869 W LANVALE ST,08/02/2007,MOSHER,WESTERN,9,"(39.29696472, -76.6647691)"
2380 060 072512,2380,060,2815 W LANVALE ST,07/25/2012,MOSHER,WESTERN,9,"(39.29701793, -76.66331292)"
2380 061 041610,2380,061,2813 W LANVALE ST,04/16/2010,MOSHER,WESTERN,9,"(39.29702047, -76.66324805)"
2377B018 060506,2377B,018,623 N FRANKLINTOWN ROAD,06/05/2006,MOSHER,WESTERN,9,"(39.29508182, -76.66374244)"
2377B020 091205,2377B,020,627 N FRANKLINTOWN ROAD,09/12/2005,MOSHER,WESTERN,9,"(39.29510625, -76.66384855)"
2377B021 021706,2377B,021,629 N FRANKLINTOWN ROAD,02/17/2006,MOSHER,WESTERN,9,"(39.29511816, -76.66390168)"
2377B028 040110,2377B,028,608 N DUKELAND ST,04/01/2010,MOSHER,WESTERN,9,"(39.29503851, -76.66323665)"
2377B033 122006,2377B,033,2801 HARLEM AVE,12/20/2006,MOSHER,WESTERN,9,"(39.2953293, -76.66313028)"
2377B036 032910,2377B,036,2807 HARLEM AVE,03/29/2010,MOSHER,WESTERN,9,"(39.29532413, -76.66328051)"
2377C014 101210,2377C,014,2726 EDMONDSON AVE,10/12/2010,MOSHER,WESTERN,9,"(39.2947549, -76.6623722)"
2377C015 120706,2377C,015,2728 EDMONDSON AVE,12/07/2006,MOSHER,WESTERN,9,"(39.29475314, -76.66242132)"
2377C016 082214,2377C,016,2730 EDMONDSON AVE,08/22/2014,MOSHER,WESTERN,9,"(39.2947514, -76.66247075)"
2377C026 122006,2377C,026,603 N DUKELAND ST,12/20/2006,MOSHER,WESTERN,9,"(39.29494354, -76.66276725)"
2377C036 101411,2377C,036,604 GLENOLDEN AVE,10/14/2011,MOSHER,WESTERN,9,"(39.29499184, -76.66245149)"
2377C040 110804,2377C,040,612 GLENOLDEN AVE,11/08/2004,MOSHER,WESTERN,9,"(39.29513977, -76.6624591)"
2377C042 071114,2377C,042,616 GLENOLDEN AVE,07/11/2014,MOSHER,WESTERN,9,"(39.2952113, -76.66246147)"
2377C050 121015,2377C,050,615 GLENOLDEN AVE,12/10/2015,MOSHER,WESTERN,9,"(39.29519303, -76.66200177)"
2377C060 032207,2377C,060,616 ASHBURTON ST,03/22/2007,MOSHER,WESTERN,9,"(39.29524089, -76.66168661)"
2377C061 030512,2377C,061,2701 HARLEM AVE,03/05/2012,MOSHER,WESTERN,9,"(39.29538801, -76.66157714)"
2377C062 071411,2377C,062,2703 HARLEM AVE,07/14/2011,MOSHER,WESTERN,9,"(39.29538641, -76.66162794)"
2377C063 081710,2377C,063,2705 HARLEM AVE,08/17/2010,MOSHER,WESTERN,9,"(39.29538487, -76.6616772)"
2377C065 062411,2377C,065,2709 HARLEM AVE,06/24/2011,MOSHER,WESTERN,9,"(39.29538181, -76.66177464)"
2377C067 061411,2377C,067,2713 HARLEM AVE,06/14/2011,MOSHER,WESTERN,9,"(39.29537864, -76.66187503)"
2377C073 102506,2377C,073,2725 HARLEM AVE,10/25/2006,MOSHER,WESTERN,9,"(39.29535729, -76.66235445)"
2377D003 120105,2377D,003,2632 EDMONDSON AVE,12/01/2005,MOSHER,WESTERN,9,"(39.29482715, -76.66038161)"
2377D005 101911,2377D,005,2636 EDMONDSON AVE,10/19/2011,MOSHER,WESTERN,9,"(39.29482409, -76.6604804)"
2377D006 101111,2377D,006,2638 EDMONDSON AVE,10/11/2011,MOSHER,WESTERN,9,"(39.29482253, -76.66053184)"
2377D007 072911,2377D,007,2640 EDMONDSON AVE,07/29/2011,MOSHER,WESTERN,9,"(39.29481404, -76.66076186)"
2377D032 081105,2377D,032,606 CLAYMONT AVE,08/11/2005,MOSHER,WESTERN,9,"(39.29508732, -76.6608798)"
2378 022 050509,2378,022,2717 W LAFAYETTE AVE,05/05/2009,MOSHER,WESTERN,9,"(39.29798877, -76.66195188)"
2378 039 071306,2378,039,2722 W LANVALE ST,07/13/2006,MOSHER,WESTERN,9,"(39.29750789, -76.66225258)"
2378 040 021811,2378,040,2724 W LANVALE ST,02/18/2011,MOSHER,WESTERN,9,"(39.29750592, -76.66230528)"
2379B011 071514,2379B,011,937 ASHBURTON ST,07/15/2014,MOSHER,WESTERN,9,"(39.29906599, -76.66139193)"
2380 004 102406,2380,004,2806 RAYNER AVE,10/24/2006,MOSHER,WESTERN,9,"(39.29655819, -76.66311765)"
2380 011 051515,2380,011,2820 RAYNER AVE,05/15/2015,MOSHER,WESTERN,9,"(39.29654718, -76.66346542)"
2401A040 070408,2401A,040,1814 BRADDISH AVE,07/04/2008,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30869023, -76.66130316)"
2401B010 092607,2401B,010,1720 BRADDISH AVE,09/26/2007,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30786656, -76.66124625)"
2401B020 103015,2401B,020,1700 BRADDISH AVE,10/30/2015,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30749472, -76.66122414)"
2401B024 043007,2401B,024,2706 PRESBURY ST,04/30/2007,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30759195, -76.66161657)"
2401B032 052215,2401B,032,1715 ASHBURTON ST,05/22/2015,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30774018, -76.661864)"
2401B033 032515,2401B,033,1717 ASHBURTON ST,03/25/2015,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30777818, -76.66186188)"
2401B040 041911,2401B,040,1731 ASHBURTON ST,04/19/2011,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30806566, -76.66188067)"
2401B041 041411,2401B,041,1733 ASHBURTON ST,04/14/2011,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30810297, -76.66188338)"
2402 008 032406,2402,008,2771 W NORTH AVE,03/24/2006,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30892147, -76.6632959)"
2402 015 060906,2402,015,2757 W NORTH AVE,06/09/2006,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.30892734, -76.66292203)"
2402 016 042007,2402,016,2755 W NORTH AVE,04/20/2007,COPPIN HEIGHTS/ASH-CO-EAST,WESTERN,7,"(39.3089312, -76.66285783)"
